Beer,Brewery,Style,ABV,IBU,Comments,Venue,Venue City,Venue Region,Venue Lat,Venue Lng,Score,Date,Checkin URL,Beer URL,Brewery URL,Beer Country
Wainwright,"Thwaites Brewery","Golden Ale",4.1,0,,,,,,,4,"2013-08-02 20:03:29",https://untappd.com/c/39605107,https://untappd.com/beer/9934,https://untappd.com/brewery/4609,England
"Mad Goose","Purity Brewing Co. (England)","English Pale Ale",4.2,0,"Tastes even better when it's free",,,,,,3.5,"2013-08-02 20:55:27",https://untappd.com/c/39610853,https://untappd.com/beer/6444,https://untappd.com/brewery/1536,England
Citra,"Oakham Ales","American Pale Ale",4.2,0,,,,,,,5,"2013-08-02 22:11:18",https://untappd.com/c/39621048,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
"JHB (Jeffrey Hudson Bitter)","Oakham Ales","Golden Ale",3.8,0,,,,,,,4,"2013-08-04 20:40:37",https://untappd.com/c/40002228,https://untappd.com/beer/53755,https://untappd.com/brewery/931,England
"Hoptimum (2013)","Sierra Nevada Brewing Co.","Imperial / Double IPA",10.4,100,"Hoppy hoppy hoppy",,,,,,5,"2013-08-08 21:13:31",https://untappd.com/c/40405226,https://untappd.com/beer/284867,https://untappd.com/brewery/1142,"United States"
Landlord,"Timothy Taylor & Co. Ltd","English Pale Ale",4.3,0,"My tastebuds have been shot to bits by the Hoptimum. Should've had this first",,,,,,3.5,"2013-08-08 22:20:00",https://untappd.com/c/40411084,https://untappd.com/beer/8676,https://untappd.com/brewery/2386,England
"Ghost Ship",Adnams,"English Pale Ale",4.5,40,"Keeps selling out at my local Morrisons. Clearly a market for good beer",,,,,,5,"2013-08-09 21:21:23",https://untappd.com/c/40536945,https://untappd.com/beer/9301,https://untappd.com/brewery/11,England
"Mad Goose","Purity Brewing Co. (England)","English Pale Ale",4.2,0,,,,,,,3.5,"2013-08-09 21:58:48",https://untappd.com/c/40542431,https://untappd.com/beer/6444,https://untappd.com/brewery/1536,England
"Pale Ale","Sierra Nevada Brewing Co.","American Pale Ale",5.6,37,,,,,,,4.5,"2013-08-11 20:38:44",https://untappd.com/c/40938986,https://untappd.com/beer/6284,https://untappd.com/brewery/1142,"United States"
"Ghost Ship",Adnams,"English Pale Ale",4.5,40,,,,,,,5,"2013-08-11 20:57:18",https://untappd.com/c/40942169,https://untappd.com/beer/9301,https://untappd.com/brewery/11,England
"Chiswick Bitter","Fuller, Smith & Turner ","English Bitter",3.5,0,"Not bad for a 3.5% beer",,,,,,3.5,"2013-08-11 21:36:18",https://untappd.com/c/40949050,https://untappd.com/beer/8823,https://untappd.com/brewery/3296,England
"Marks & Spencer Citra IPA","Oakham Ales","English IPA",4.9,0,"Like velvet it is!",,,,,,5,"2013-08-14 17:50:04",https://untappd.com/c/41234903,https://untappd.com/beer/342455,https://untappd.com/brewery/931,England
"Punk IPA",BrewDog,"American IPA",5.6,45,"Batch 166. Tastes sublime. Just like mama used to make.",,,,,,4.5,"2013-08-15 21:04:10",https://untappd.com/c/41355692,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2013-08-16 23:01:35",https://untappd.com/c/41506221,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Voll-Damm Doble Malta","Grupo Damm",Oktoberfest/Märzen,7.2,0,"Like a mouthful of crystal. Sooooo much malt",,,,,,4,"2013-08-18 22:11:19",https://untappd.com/c/41898520,https://untappd.com/beer/30114,https://untappd.com/brewery/1087,Spain
Carmen,Rosita,"Blonde Ale",4.8,0,"My first Spanish craft beer. Pretty nice. Reminds me a bit of Mad Goose.",,,,,,2,"2013-08-19 20:53:22",https://untappd.com/c/42000671,https://untappd.com/beer/120750,https://untappd.com/brewery/22352,Spain
Carmen,Rosita,"Blonde Ale",4.8,0,"Thought it was a fluke before, but this has to be the most overcarbonated beer I've ever had",,,,,,2,"2013-08-20 21:41:32",https://untappd.com/c/42087493,https://untappd.com/beer/120750,https://untappd.com/brewery/22352,Spain
"Voll-Damm Doble Malta","Grupo Damm",Oktoberfest/Märzen,7.2,0,,,,,,,4,"2013-08-20 22:04:50",https://untappd.com/c/42088796,https://untappd.com/beer/30114,https://untappd.com/brewery/1087,Spain
"Ghost Ship",Adnams,"English Pale Ale",4.5,40,"Ah, ale, how I've missed you...",,,,,,5,"2013-08-24 20:13:28",https://untappd.com/c/42599467,https://untappd.com/beer/9301,https://untappd.com/brewery/11,England
"Mad Goose","Purity Brewing Co. (England)","English Pale Ale",4.2,0,,,,,,,3.5,"2013-08-24 20:53:11",https://untappd.com/c/42609236,https://untappd.com/beer/6444,https://untappd.com/brewery/1536,England
"Great Grey Owl","Butcombe Brewery ","American Pale Ale",3.6,0,"Pleasant enough, and much more full-bodied than the 3.9% would suggest. A bit sickly though. Probably couldn't have more than one",,,,,,3.5,"2013-08-25 18:07:14",https://untappd.com/c/42798333,https://untappd.com/beer/299128,https://untappd.com/brewery/2996,England
"Limoncello IPA / Lemon Cello IPA","Siren Craft Brew","Imperial / Double IPA",9.1,0,"OH MY GOD. Like nothing I've ever tasted before.",,,,,,5,"2013-08-25 20:52:42",https://untappd.com/c/42821052,https://untappd.com/beer/357993,https://untappd.com/brewery/55184,England
"Pale Ale Cascade","The Kernel Brewery","American Pale Ale",5.2,0,"Not their finest hour, but tasty all the same",,,,,,4,"2013-08-25 21:18:58",https://untappd.com/c/42825682,https://untappd.com/beer/57152,https://untappd.com/brewery/3376,England
"Great Grey Owl","Butcombe Brewery ","American Pale Ale",3.6,0,"Seems to be doing the rounds at M+B pubs","Green Man",Middleton,Warwickshire,52.582,-1.7424,3.5,"2013-08-26 17:35:40",https://untappd.com/c/42920175,https://untappd.com/beer/299128,https://untappd.com/brewery/2996,England
"Handwerk All-Day IPA","Brewers and Union","English IPA",5.5,42,"Meh. Not really what I'd call an IPA either. Some off flavours there too I think.",,,,,,2,"2013-08-26 20:46:08",https://untappd.com/c/42928231,https://untappd.com/beer/329676,https://untappd.com/brewery/2237,"South Africa"
"Dalston Black IPA","Brodie's Brewery","Black IPA / Cascadian Dark Ale",7,0,"Not as well balanced as other black IPAs I've had, but lovely malty backbone",,,,,,4,"2013-08-26 20:59:46",https://untappd.com/c/42928973,https://untappd.com/beer/99331,https://untappd.com/brewery/12784,England
"Ghost Ship",Adnams,"English Pale Ale",4.5,40,"There's lovely",,,,,,5,"2013-08-26 21:53:46",https://untappd.com/c/42932017,https://untappd.com/beer/9301,https://untappd.com/brewery/11,England
"Schneider Weisse Original (TAP7)","Weisses Bräuhaus G. Schneider & Sohn",Hefeweizen,5.4,14,"Schneider Weisse, otherwise known as the ruiner of all other weissbeers for me. Nothing comes close.",,,,,,5,"2013-08-28 20:34:02",https://untappd.com/c/43094231,https://untappd.com/beer/11982,https://untappd.com/brewery/1023,Germany
"Oyster Stout","Arbor Ales",Stout,4.6,0,"Really good. Silky smooth and smoky as you like.",,,,,,4.5,"2013-08-28 21:12:16",https://untappd.com/c/43096456,https://untappd.com/beer/76913,https://untappd.com/brewery/12952,England
"Anarchist Party Bitter","Art Brew","English Bitter",7.3,0,"The more I drink it, the more I like it...",,,,,,4,"2013-08-29 22:37:53",https://untappd.com/c/43205380,https://untappd.com/beer/331397,https://untappd.com/brewery/11472,England
"Whitacre Wobbler","Ringwood Brewery","English Pale Ale",3.8,0,"Quaffable session ale. Could drink a few more of these easily.","The railway inn","Nether whitacre",,52.53,-1.67863,3.5,"2013-08-30 16:41:07",https://untappd.com/c/43306127,https://untappd.com/beer/442235,https://untappd.com/brewery/2495,England
"London Sour","The Kernel Brewery","Berliner Weisse",2.5,0,"A taste journey in a glass. A touch of bubblegum, followed by a big salty, citrusy kiss, then weaty mellowness",,,,,,3.5,"2013-08-30 20:23:34",https://untappd.com/c/43324300,https://untappd.com/beer/415230,https://untappd.com/brewery/3376,England
Citra,"Oakham Ales","American Pale Ale",4.2,0,,,,,,,5,"2013-08-30 21:02:44",https://untappd.com/c/43329256,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
"Ghost Ship",Adnams,"English Pale Ale",4.5,40,,,,,,,5,"2013-08-30 21:34:52",https://untappd.com/c/43333797,https://untappd.com/beer/9301,https://untappd.com/brewery/11,England
"Epic Saison","The Wild Beer Co","Saison / Farmhouse Ale",5,0,"Almost leathery flavour, and really fizzy. Not sure I like this.",,,,,,4,"2013-08-30 22:14:46",https://untappd.com/c/43340523,https://untappd.com/beer/259506,https://untappd.com/brewery/41559,England
"FAKE Lager",BrewDog,"Czech Pilsener",4.7,0,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4,"2013-08-31 19:36:43",https://untappd.com/c/43515716,https://untappd.com/beer/338346,https://untappd.com/brewery/241,Scotland
"Tactical Nuclear Penguin",BrewDog,"American Imperial / Double Stout",32,90,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,5,"2013-08-31 20:07:21",https://untappd.com/c/43522550,https://untappd.com/beer/5713,https://untappd.com/brewery/241,Scotland
"Double Citra IPA","The Kernel Brewery","Imperial / Double IPA",9.8,0,"God, I love this beer","Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,5,"2013-08-31 20:07:55",https://untappd.com/c/43522793,https://untappd.com/beer/124405,https://untappd.com/brewery/3376,England
Pedigree,"Marston's Beer Co","English Pale Ale",4.5,0,,"Actress and Bishop",Birmingham,"West Midlands",52.4845,-1.90464,4,"2013-08-31 20:55:25",https://untappd.com/c/43533920,https://untappd.com/beer/12892,https://untappd.com/brewery/1517,England
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,"Tastes even better now I can get it from round the corner",,,,,,5,"2013-09-01 21:27:40",https://untappd.com/c/43749023,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
Citra,"Oakham Ales","American Pale Ale",4.2,0,"Got M&S Citra waiting for me after this. Time to compare and contrast...",,,,,,5,"2013-09-05 20:52:11",https://untappd.com/c/44184552,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
"Marks & Spencer Citra IPA","Oakham Ales","English IPA",4.9,0,"Now I've compared, there's a real difference. Slightly more balanced, less citra kick. Still lovely.",,,,,,5,"2013-09-05 21:18:16",https://untappd.com/c/44186274,https://untappd.com/beer/342455,https://untappd.com/brewery/931,England
"British Summer",Brains,"Golden Ale",4.1,0,"Lovely session ale with a nice biscuity, crystal finish. Could drink more of this","The Red Lion",Coleshill,Warwickshire,52.4955,-1.70522,4.5,"2013-09-06 21:49:25",https://untappd.com/c/44313586,https://untappd.com/beer/64556,https://untappd.com/brewery/3779,Wales
Lion,"Hook Norton Brewery","English Bitter",4,0,,,,,,,0.5,"2013-09-06 22:53:01",https://untappd.com/c/44323820,https://untappd.com/beer/323445,https://untappd.com/brewery/670,England
"New World IPA","Northern Monk","American IPA",6.2,0,,,,,,,3.5,"2013-09-06 23:00:15",https://untappd.com/c/44325002,https://untappd.com/beer/403202,https://untappd.com/brewery/71828,England
Citra,"Oakham Ales","American Pale Ale",4.2,0,"Too busy brewing to check in",,,,,,5,"2013-09-07 22:13:02",https://untappd.com/c/44528966,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,"Just catching up",,,,,,5,"2013-09-07 22:13:39",https://untappd.com/c/44528801,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
"Old Intentional","Derby Brewing Company","Extra Special/Strong Bitter",5,0,,,,,,,4,"2013-09-07 22:45:19",https://untappd.com/c/44538408,https://untappd.com/beer/103374,https://untappd.com/brewery/12529,England
"Cocoa Beer","Brewshed Brewery","English Porter",4.7,0,"Got bought this from Hotel Chocolat today. Pretty tasty.",,,,,,3.5,"2013-09-08 21:02:19",https://untappd.com/c/44726527,https://untappd.com/beer/418747,https://untappd.com/brewery/12922,England
"Pure UBU","Purity Brewing Co. (England)","English Bitter",4.5,0,"Forgot how good this is",,,,,,4,"2013-09-10 21:06:33",https://untappd.com/c/44905658,https://untappd.com/beer/6447,https://untappd.com/brewery/1536,England
Citra,"Oakham Ales","American Pale Ale",4.2,0,,,,,,,5,"2013-09-12 21:22:02",https://untappd.com/c/45080521,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
"Blond Witch","Moorhouse's Brewery","Blonde Ale",4.5,0,Meh,"The Red Lion",Coleshill,Warwickshire,52.4955,-1.70522,3,"2013-09-13 12:55:54",https://untappd.com/c/45174800,https://untappd.com/beer/35403,https://untappd.com/brewery/884,England
"India Pale Ale","Harbour Brewing Co","English IPA",5.2,0,"First sample from Sainsbury's #gbbh - half way between a US and English IPA I'd say",,,,,,4,"2013-09-13 19:37:53",https://untappd.com/c/45191511,https://untappd.com/beer/138897,https://untappd.com/brewery/25103,England
"Infra Red",Hardknott,"American Amber / Red Ale",6.5,0,"I don't hate it, and it's quite interesting, like a super hoppy red ale #gbbh",,,,,,4,"2013-09-13 20:18:05",https://untappd.com/c/45195285,https://untappd.com/beer/15848,https://untappd.com/brewery/3300,England
"SA Gold",Brains,"Golden Ale",4.3,0,,,,,,,3.5,"2013-09-13 21:10:19",https://untappd.com/c/45201137,https://untappd.com/beer/21192,https://untappd.com/brewery/3779,Wales
"Business As Usual","Derby Brewing Company","Golden Ale",4.4,0,"Woah! That's malty!",,,,,,3.5,"2013-09-13 22:06:31",https://untappd.com/c/45208792,https://untappd.com/beer/124909,https://untappd.com/brewery/12529,England
"Caesar Augustus","Williams Brothers Brewing Co.","IPL (India Pale Lager)",4.1,0,,,,,,,4,"2013-09-14 20:50:45",https://untappd.com/c/45403340,https://untappd.com/beer/77447,https://untappd.com/brewery/1367,Scotland
"Black Pepper Ale",Batemans,"English Strong Ale",5.1,0,"Pepper notes are quite subtle, but a nice beer all the same #gbbh",,,,,,4,"2013-09-14 21:03:13",https://untappd.com/c/45406970,https://untappd.com/beer/450859,https://untappd.com/brewery/8151,England
"Summer Lightning","Hop Back Brewery","Golden Ale",5,0,"Haven't had this for years.",,,,,,4,"2013-09-14 21:35:56",https://untappd.com/c/45416929,https://untappd.com/beer/140,https://untappd.com/brewery/671,England
"Windermere Pale","Hawkshead Brewery","English Pale Ale",4,0,"Pleasant, but nothing amazing #gbbh",,,,,,3.5,"2013-09-14 22:28:55",https://untappd.com/c/45432567,https://untappd.com/beer/52870,https://untappd.com/brewery/4753,England
"Meine Hopfenweisse / Schneider-Brooklyner (TAP5)","Weisses Bräuhaus G. Schneider & Sohn",Weizenbock,8.2,40,YES!,"Post Office Vaults",Birmingham,"West Midlands",52.4792,-1.90191,4.5,"2013-09-15 15:17:59",https://untappd.com/c/45579533,https://untappd.com/beer/11027,https://untappd.com/brewery/1023,Germany
"FAKE Lager",BrewDog,"Czech Pilsener",4.7,0,,,,,,,4,"2013-09-15 16:50:18",https://untappd.com/c/45584435,https://untappd.com/beer/338346,https://untappd.com/brewery/241,Scotland
"Dead Pony Pale Ale",BrewDog,"American Pale Ale",3.8,25,,,,,,,4.5,"2013-09-15 16:51:18",https://untappd.com/c/45584501,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland
"Five AM Red Ale",BrewDog,"American Amber / Red Ale",5,25,,,,,,,5,"2013-09-15 16:58:04",https://untappd.com/c/45584942,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2013-09-15 17:22:14",https://untappd.com/c/45586748,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Misspent Youth",BrewDog,"Scotch Ale / Wee Heavy",7.5,0,,,,,,,4.5,"2013-09-15 17:45:19",https://untappd.com/c/45588821,https://untappd.com/beer/356169,https://untappd.com/brewery/241,Scotland
"Libertine Black Ale",BrewDog,"Black IPA / Cascadian Dark Ale",7.2,65,,,,,,,4.5,"2013-09-15 17:58:11",https://untappd.com/c/45590384,https://untappd.com/beer/158573,https://untappd.com/brewery/241,Scotland
"IPA Is Dead Goldings",BrewDog,"American IPA",6.7,75,Fruity!,,,,,,4,"2013-09-15 18:02:41",https://untappd.com/c/45590926,https://untappd.com/beer/334125,https://untappd.com/brewery/241,Scotland
"Gueuze 100% Lambic Bio","Brasserie Cantillon",Gueuze,5,0,"Oooooh, that's a sour beer",,,,,,5,"2013-09-15 18:31:05",https://untappd.com/c/45595026,https://untappd.com/beer/56829,https://untappd.com/brewery/202,Belgium
Jaipur,"Thornbridge Brewery","English IPA",5.9,55,"Just a swift half","The Euston Tap",London,"Greater London",51.527,-0.13248,5,"2013-09-18 16:26:49",https://untappd.com/c/45869534,https://untappd.com/beer/7705,https://untappd.com/brewery/2047,England
"Limoncello IPA / Lemon Cello IPA","Siren Craft Brew","Imperial / Double IPA",9.1,0,"Tart, fizzy, sherberty and hoppy. Delish.",,,,,,5,"2013-09-19 20:41:35",https://untappd.com/c/45968262,https://untappd.com/beer/357993,https://untappd.com/brewery/55184,England
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,,,,,,,5,"2013-09-19 21:33:47",https://untappd.com/c/45971653,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
"Camden Versus Odell","Camden Town Brewery","Baltic Porter",7,0,,,,,,,4,"2013-09-20 20:16:15",https://untappd.com/c/46085165,https://untappd.com/beer/386656,https://untappd.com/brewery/10433,England
"Limoncello IPA / Lemon Cello IPA","Siren Craft Brew","Imperial / Double IPA",9.1,0,,,,,,,5,"2013-09-20 20:56:24",https://untappd.com/c/46089378,https://untappd.com/beer/357993,https://untappd.com/brewery/55184,England
"Mad Goose","Purity Brewing Co. (England)","English Pale Ale",4.2,0,"Y'know, I've gone off this a bit. Serviceable, but I prefer UBU",,,,,,3.5,"2013-09-20 21:53:04",https://untappd.com/c/46096466,https://untappd.com/beer/6444,https://untappd.com/brewery/1536,England
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,"Happy pre birthday to me",,,,,,5,"2013-09-21 20:18:24",https://untappd.com/c/46279294,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
Citra,"Oakham Ales","American Pale Ale",4.2,0,,"The Wellington",Birmingham,"West Midlands",52.4806,-1.9005,5,"2013-09-21 21:50:32",https://untappd.com/c/46303923,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
"Kriek Lambicus","Brewery John Martin & Brewery Timmermans",Lambic,4.5,0,"A Haribo tangfastic in a glass",,,,,,3.5,"2013-09-21 22:15:36",https://untappd.com/c/46311196,https://untappd.com/beer/5420,https://untappd.com/brewery/2313,Belgium
