Beer,Brewery,Style,ABV,IBU,Comments,Venue,Venue City,Venue Region,Venue Lat,Venue Lng,Score,Date,Checkin URL,Beer URL,Brewery URL,Beer Country
"Doom Bar","Sharp's Brewery","English Bitter",4,0,,"The Red Lion",Coleshill,Warwickshire,52.4955,-1.70522,3.5,"2013-03-10 14:29:07",https://untappd.com/c/24412497,https://untappd.com/beer/7552,https://untappd.com/brewery/1994,England
"Snake Dog IPA","Flying Dog Brewery","American IPA",7.1,0,"Kind of half way between a ruby ale and an IPA. Tasty enough, but probably won't have another",,,,,,4,"2013-03-13 20:30:33",https://untappd.com/c/24605340,https://untappd.com/beer/3759,https://untappd.com/brewery/540,"United States"
Burocracy,BrewFist,"American IPA",6,52,"Slightly soapy, almost botanical. And the first Italian craft beer I've ever had!","The White Horse","Greater London","Greater London",51.4744,-0.200549,4,"2013-03-13 20:56:41",https://untappd.com/c/24606431,https://untappd.com/beer/82289,https://untappd.com/brewery/10776,Italy
"Wild Raven","Thornbridge Brewery","Black IPA / Cascadian Dark Ale",6.6,65,"Your better class of train beer.",,,,,,4,"2013-03-14 16:53:36",https://untappd.com/c/24660977,https://untappd.com/beer/24126,https://untappd.com/brewery/2047,England
"Old Thumper","Ringwood Brewery","Extra Special/Strong Bitter",5.1,0,,,,,,,3.5,"2013-03-15 23:20:17",https://untappd.com/c/24770453,https://untappd.com/beer/6545,https://untappd.com/brewery/2495,England
1845,"Fuller, Smith & Turner ","English Strong Ale",6.3,0,,,,,,,4,"2013-03-15 23:43:49",https://untappd.com/c/24775236,https://untappd.com/beer/19611,https://untappd.com/brewery/3296,England
Landlord,"Timothy Taylor & Co. Ltd","English Pale Ale",4.3,0,,,,,,,3.5,"2013-03-15 23:44:43",https://untappd.com/c/24775445,https://untappd.com/beer/8676,https://untappd.com/brewery/2386,England
"Rum Finish / Rum Cask / Rum Aged","Innis & Gunn","Scottish Export Ale",6.8,0,"Rather tasty",,,,,,4,"2013-03-16 20:33:17",https://untappd.com/c/24886653,https://untappd.com/beer/13131,https://untappd.com/brewery/1673,Scotland
"London Pale Ale","Meantime Brewing Company","English Pale Ale",4.3,0,,"The Reliance",Shoreditch,"Greater London",51.5267,-0.081398,4,"2013-03-18 17:44:20",https://untappd.com/c/25131750,https://untappd.com/beer/12332,https://untappd.com/brewery/844,England
"Madness IPA","The Wild Beer Co","American IPA",6.8,0,"That's my shit right there",,,,,,4.5,"2013-03-20 20:57:00",https://untappd.com/c/25243656,https://untappd.com/beer/281689,https://untappd.com/brewery/41559,England
Kipling,"Thornbridge Brewery","New Zealand Pale Ale",5.2,0,"Not my favourite Thornbridge beer, but a tasty drop and I see what they're trying to do with it.",,,,,,4,"2013-03-21 20:17:16",https://untappd.com/c/25309082,https://untappd.com/beer/12268,https://untappd.com/brewery/2047,England
"Hop Series Challenger",Mikkeller,"American IPA",6.8,102,"Nice mellow drop",,,,,,4,"2013-03-21 21:39:30",https://untappd.com/c/25314733,https://untappd.com/beer/55088,https://untappd.com/brewery/2813,Denmark
"Master Brew Kentish Ale","Shepherd Neame","English Bitter",4,0,"Supermarket beers again tonight, but I do love this one",,,,,,4,"2013-03-22 20:38:39",https://untappd.com/c/25396921,https://untappd.com/beer/3018,https://untappd.com/brewery/1132,England
"Smugglers Vintage Ale","St Austell Brewery","Old Ale",6,0,"Rather special bonus beer from @stirchleywines. Appropriate for the current weather",,,,,,4,"2013-03-22 21:18:40",https://untappd.com/c/25401239,https://untappd.com/beer/39343,https://untappd.com/brewery/1186,England
"Old Tom Original",Robinsons,"English Strong Ale",8.5,0,Meh,,,,,,2.5,"2013-03-23 22:08:04",https://untappd.com/c/25550792,https://untappd.com/beer/15276,https://untappd.com/brewery/2908,England
Unicorn,Robinsons,"English Bitter",4.2,0,"Double meh",,,,,,3,"2013-03-23 22:08:24",https://untappd.com/c/25551060,https://untappd.com/beer/12275,https://untappd.com/brewery/2908,England
"Dark Lord",Batemans,"Dark Ale",5,0,,,,,,,4,"2013-03-23 22:09:57",https://untappd.com/c/25551295,https://untappd.com/beer/35504,https://untappd.com/brewery/8151,England
"Lancaster Bomber","Thwaites Brewery","Extra Special/Strong Bitter",4.4,0,"Quaffable. File under Landlord and Pedigree",,,,,,4,"2013-03-24 21:34:23",https://untappd.com/c/25680302,https://untappd.com/beer/6875,https://untappd.com/brewery/4609,England
"Sagres Branca","Sociedade Central de Cervejas e Bebidas SA",Pilsner,5,0,"Actually quite nice given that it's £2 a bottle","Bar Kick",Shoreditch,"Greater London",51.5268,-0.0779343,3.5,"2013-03-25 17:59:26",https://untappd.com/c/25735433,https://untappd.com/beer/311619,https://untappd.com/brewery/54809,Portugal
